"File","XsltVersion","ScriptBlocks","UsesMsxslOrNodeSet","ScriptFunctionCalls","HasThreadSleep","HasGuidNewGuid","HasStaticState","MigrationRisk"
"C:\Repos\ELEVATE\xslt\025 - ZFL\Galana\Galana_PO_To_Zeebrugge-Food-Logistics_RCV-RECEIPT.xslt","1.0","1","True","MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\025 - ZFL\Galana\Galana_SO_To_Zeebrugge-Food-Logistics_RCV-SHIPMENT.xslt","1.0","1","True","MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\025 - ZFL\NedCargo\Nedcargo_Soesterberg_SND_SHIPMENT_To_EFACT_D96A_RECADV.xslt","1.0","1","True","MyScript:AddToQtyOnCarrier; MyScript:AddToQtyOnCarrierRetour; MyScript:ConvertReasonCode; MyScript:GetLinCounter; MyScript:GetQtyOnCarrier; MyScript:GetQtyOnCarrierRetour; MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\025 - ZFL\Thermo\1-FormatData.xslt","1.0","1","True","MyScript:FormatDate; MyScript:GetCurrentDate; MyScript:GetData","False","True","False","High"
"C:\Repos\ELEVATE\xslt\025 - ZFL\Thermo\2-RcvMMDThermo.xslt","1.0","1","True","","False","True","False","High"
"C:\Repos\ELEVATE\xslt\025 - ZFL\Thermo\3-RcvReceiptThermo.xslt","1.0","1","True","MyScript:Sleep","True","True","False","High"
"C:\Repos\ELEVATE\xslt\025 - ZFL\Vamix\old\Before plant numbering changes\ZFL_EFACT_D16B_DESADV_To_Vandemoortele_SND_POSTED_SHIPMENT.xslt","1.0","1","True","MyScript:GetLinCounter; MyScript:GetNRCounter; MyScript:GetNRCounter2; MyScript:GetNRCounter3; MyScript:ParseDate; MyScript:ToUpper","False","True","True","High"
"C:\Repos\ELEVATE\xslt\025 - ZFL\Vamix\old\Before plant numbering changes\ZFL_EFACT_D16B_DESADV_To_Vandemoortele_SND_SHIPMENT.xslt","1.0","1","True","MyScript:GetLinCounter; MyScript:GetNRCounter; MyScript:GetNRCounter2; MyScript:GetNRCounter3; MyScript:ParseDate; MyScript:ToUpper; MyScript:TrimEnd","False","True","True","High"
"C:\Repos\ELEVATE\xslt\025 - ZFL\Vamix\old\Before plant numbering changes\ZFL_EFACT_D16B_INVRPT_To_Vandemoortele_SND_CARRIERSTATCHNGE.xslt","1.0","1","True","MyScript:ConvertStatusCode; MyScript:GetLinCounter; MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\025 - ZFL\Vamix\old\Before plant numbering changes\ZFL_EFACT_D16B_INVRPT_To_Vandemoortele_SND_RECEIPT_RETURNS.xslt","1.0","1","True","MyScript:ConvertStatusCode; MyScript:GetLinCounter; MyScript:ParseDate","False","True","False","High"
